ID - код товара учетной системы поставщика	Название компании	Артикул производителя запчасти	Производитель запчасти	Наименование запчасти	Описание запчасти в свободной форме	Вес, кг	Склад	Валюта	Ставка НДС	Город наличия товаров	"Список номеров аналогов, на которые еще подходит данная запчасть (для поиска) перечислены через "";"""	"Список брендов техники, на которые подходит запчасть (для поиска) перечислены через "";"""
00-00021887	ООО "ЧЕТРА"	01010-31020	ЧЕТРА	01010-31020 Болт 01010-81020	Болт 01010-81020	0,02	24;10,00	RUR	НДС 20%	Екатеринбург		ЧЕТРА
00-00002028	ООО "ЧЕТРА"	01010-31225	ЧЕТРА	01010-31225-US БОЛТ	01010-31225-US БОЛТ	0,04	4;13,00	RUR	НДС 20%	Екатеринбург	01010-31225; 01010-E1225	ЧЕТРА
00-00003140	ООО "ЧЕТРА"	01010-31675	ЧЕТРА	01010-31675-US БОЛТ КАТКА ОПОРНОГО	01010-31675-US БОЛТ КАТКА ОПОРНОГО	0,15	15;40,00	RUR	НДС 20%	Екатеринбург	01010-31675; M16X75	
00-00021902	ООО "ЧЕТРА"	01010-31885	ЧЕТРА	01010-31885-US БОЛТ КАТКА ПОДДЕРЖИВАЮЩЕГО	01010-31885-US БОЛТ КАТКА ПОДДЕРЖИВАЮЩЕГО	0,22	52;140,00	RUR	НДС 20%	Екатеринбург	01010-61885; 01010-81885	ЧЕТРА
00-00002029	ООО "ЧЕТРА"	01010-32265	ЧЕТРА	01010-32265-US БОЛТ ЗВЕЗДОЧКИ	01010-32265-US БОЛТ ЗВЕЗДОЧКИ	0,237	120;140,00	RUR	НДС 20%	Екатеринбург	S017-220652; J932265; 01010-82265; 81QB-19670; 01010-32265; M22X65X2.5	
00-00003142	ООО "ЧЕТРА"	01010-32275	ЧЕТРА	01010-32275-US БОЛТ КАТКА ОПОРНОГО	01010-32275-US БОЛТ КАТКА ОПОРНОГО	0,2	444;84,00	RUR	НДС 20%	Екатеринбург	01010-32275; 01010-62275; U16023; 71447248; J932270; S017-220702; 01010-52275; M22X2.5X75	ЧЕТРА
00-00236444	ООО "ЧЕТРА"	01010-32285	ЧЕТРА	01010-32285-JC БОЛТ КАТКА	01010-32285-JC БОЛТ КАТКА	0,33	224;93,00	RUR	НДС 20%	Екатеринбург	01010-32285; 01010-62285; 01010-82285; M22X85	ЧЕТРА
00-00002030	ООО "ЧЕТРА"	01010-32455	ЧЕТРА	01010-32455-US БОЛТ	01010-32455-US БОЛТ	0,3	5;92,00	RUR	НДС 20%	Екатеринбург	01010-32455; 01010-62455; M24X55	ЧЕТРА
00-00021719	ООО "ЧЕТРА"	01010-61485	ЧЕТРА	01010-61485 Болт	Болт	0,126	10;123,00	RUR	НДС 20%	Екатеринбург	01010-31485-HX;	
00-00022650	ООО "ЧЕТРА"	01010-61645-GA	ЧЕТРА	01010-61645-GA Болт 01010-81645/01010-31645	Болт 01010-81645/01010-31645	0,095	6;54,00	RUR	НДС 20%	Екатеринбург		
00-00177186	ООО "ЧЕТРА"	01010-62490	ЧЕТРА	01010-62490-US БОЛТ (M24*3.0*90)	01010-62490-US БОЛТ (M24*3.0*90)	0,428	52;101,00	RUR	НДС 20%	Екатеринбург	01010-32490; 7X-2577; 01010-52490; U13854; 01010-62490; 01010-82490; 7X2577	ЧЕТРА
00-00002031	ООО "ЧЕТРА"	01010-62795	ЧЕТРА	01010-62795-US БОЛТ M27X100X3.0	01010-62795-US БОЛТ M27X100X3.0	0,65	4;361,00	RUR	НДС 20%	Екатеринбург	01010-62795; M27X100X3.0	ЧЕТРА
00-00010328	ООО "ЧЕТРА"	01010-81245	ЧЕТРА	01010-81245 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ	01010-81245 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ	0,06	15;219,00	RUR	НДС 20%	Екатеринбург		
00-00009344	ООО "ЧЕТРА"	01010-81280	ЧЕТРА	01010-81280 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ	01010-81280 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ	0,09	22;330,00	RUR	НДС 20%	Екатеринбург		
00-00003145	ООО "ЧЕТРА"	01010-82080	ЧЕТРА	01010-82080-US БОЛТ КАТКА ПОДДЕРЖИВАЮЩЕГО	01010-82080-US БОЛТ КАТКА ПОДДЕРЖИВАЮЩЕГО	0,15	72;55,00	RUR	НДС 20%	Екатеринбург		
00-00009263	ООО "ЧЕТРА"	01011-62400	ЧЕТРА	01011-62400 БОЛТ	01011-62400 БОЛТ	0,462	42;160,00	RUR	НДС 20%	Екатеринбург		
00-00009265	ООО "ЧЕТРА"	01011-62710	ЧЕТРА	01011-62710 БОЛТ 27ММ	01011-62710 БОЛТ 27ММ	0,653	458;1364,00	RUR	НДС 20%	Екатеринбург		
00-00002217	ООО "ЧЕТРА"	01011-81600	ЧЕТРА	01011-81600-JC БОЛТ КАТКА ПОДДЕРЖИВАЮЩЕГО	01011-81600-JC БОЛТ КАТКА ПОДДЕРЖИВАЮЩЕГО	0,19	4;44,00	RUR	НДС 20%	Екатеринбург	01011-81600; 01011-31600	ЧЕТРА
00-00002184	ООО "ЧЕТРА"	01011-81605	ЧЕТРА	01011-81605-JC БОЛТ КАТКА ПОДДЕРЖИВАЮЩЕГО	01011-81605-JC БОЛТ КАТКА ПОДДЕРЖИВАЮЩЕГО	0,2	233;58,00	RUR	НДС 20%	Екатеринбург	01011-81605; 1011-61605; 01011-81605; 16*105*12.9*2.00-TST	ЧЕТРА
00-00177174	ООО "ЧЕТРА"	01643-21845	ЧЕТРА	01643-21845 ШАЙБА БОЛТА НОЖА	01643-21845 ШАЙБА БОЛТА НОЖА	0,03	55;20,00	RUR	НДС 20%	Екатеринбург	01643-31845; 01643-21845; CR4375; J222018; S01062K0N12; 1060C61800000; JHP0079; 4114406; 14497031; 70927382; M18	ЧЕТРА
00-00018658	ООО "ЧЕТРА"	01643-22460	ЧЕТРА	01643-22460 ШАЙБА	01643-22460 ШАЙБА	0,061	94;285,00	RUR	НДС 20%	Екатеринбург		
00-00002218	ООО "ЧЕТРА"	01643-31445	ЧЕТРА	01643-31445-JC ШАЙБА	01643-31445-JC ШАЙБА	0,019	50;16,00	RUR	НДС 20%	Екатеринбург	5P8246; 01643-31445; M14	ЧЕТРА
00-00003261	ООО "ЧЕТРА"	01643-31445	ЧЕТРА	01643-31445-US ШАЙБА,	01643-31445-US ШАЙБА,	0,019	56;16,00	RUR	НДС 20%	Екатеринбург	5P8246; 01643-31445; M14	ЧЕТРА
00-00002219	ООО "ЧЕТРА"	01643-31645	ЧЕТРА	01643-31645-JC ШАЙБА 	01643-31645-JC ШАЙБА 	0,02	31;15,00	RUR	НДС 20%	Екатеринбург	01643-31645; S5102901; S411-160002; 81Q6-90100; M16	ЧЕТРА
